"service_id","score_decimal","total_playtime","avg_daily_playtime","days_active","total_missions_started","total_missions_completed","total_races_started","total_races_completed","total_quizzes_started","total_quizzes_completed","total_activities","mission_completion_rate","race_completion_rate","race_ratio","correct","incorrect","total_attempts","success_rate","is_inactive","is_not_engaged","is_off_task","is_poor_performer","flags_count"
"5d88564d26ca7909d8fb9d08",0.566666666666667,213.63,14.242,15,37,26,10,3,7,7,54,0.702702702702703,0.3,0.185185185185185,52,26,78,0.666666666666667,FALSE,FALSE,FALSE,FALSE,0
"5f9c8992342a32392540e70b",0.766666666666667,140.98,12.8163636363636,11,34,28,0,0,6,6,40,0.823529411764706,NA,0,44,11,55,0.8,FALSE,FALSE,FALSE,FALSE,0
"5fab181c708c22005ba08d28",NA,166.66,11.1106666666667,15,33,13,1,0,3,3,37,0.393939393939394,0,0.027027027027027,30,32,62,0.483870967741935,FALSE,FALSE,FALSE,FALSE,0
"6021bf2e609c0307f35d0512",0.666666666666667,74.68,8.29777777777778,9,16,5,0,0,0,0,16,0.3125,NA,0,14,7,21,0.666666666666667,FALSE,TRUE,FALSE,FALSE,1
"611cf4ca00a13103ab65c14b",0.633333333333333,121.94,10.1616666666667,12,17,9,0,0,0,0,17,0.529411764705882,NA,0,23,15,38,0.605263157894737,FALSE,FALSE,FALSE,FALSE,0
"61fb09b7b37b920de810f34d",0.6,185.04,12.336,15,41,10,0,0,0,0,41,0.24390243902439,NA,0,26,19,45,0.577777777777778,FALSE,FALSE,FALSE,FALSE,0
"62968c94929d68045116d328",0.866666666666667,166.53,11.895,14,33,15,2,1,5,5,40,0.454545454545455,0.5,0.05,48,7,55,0.872727272727273,FALSE,FALSE,FALSE,FALSE,0
"6297de0b70cd210229cad86b",NA,158.34,12.18,13,35,15,4,2,5,4,44,0.428571428571429,0.5,0.0909090909090909,37,21,58,0.637931034482759,FALSE,FALSE,FALSE,FALSE,0
"62feb561aca92c1599166d13",NA,266.72,19.0514285714286,14,41,31,15,9,9,9,65,0.75609756097561,0.6,0.230769230769231,60,26,86,0.697674418604651,FALSE,FALSE,FALSE,FALSE,0
"62feb561aca92c1599166d19",0.566666666666667,113.13,8.70230769230769,13,25,9,0,0,0,0,25,0.36,NA,0,26,17,43,0.604651162790698,FALSE,TRUE,FALSE,FALSE,1
"62feb561aca92c1599166d1e",NA,95.48,8.68,11,21,7,0,0,0,0,21,0.333333333333333,NA,0,26,13,39,0.666666666666667,FALSE,TRUE,FALSE,FALSE,1
"62feb561aca92c1599166d3b",0.633333333333333,174.2,13.4,13,26,13,0,0,2,2,28,0.5,NA,0,27,14,41,0.658536585365854,FALSE,FALSE,FALSE,FALSE,0
"62feb561aca92c1599166d44",0.366666666666667,130.65,9.33214285714286,14,25,12,0,0,1,1,26,0.48,NA,0,28,22,50,0.56,FALSE,FALSE,FALSE,FALSE,0
"62feb561aca92c1599166d52",0.6,67.93,8.49125,8,15,4,4,1,1,1,20,0.266666666666667,0.25,0.2,13,10,23,0.565217391304348,FALSE,TRUE,FALSE,FALSE,1
"62feb561aca92c1599166d69",0.6,145.45,12.1208333333333,12,21,6,0,0,0,0,21,0.285714285714286,NA,0,19,9,28,0.678571428571429,FALSE,FALSE,FALSE,FALSE,0
"62feb561aca92c1599166d7a",0.766666666666667,182.65,12.1766666666667,15,36,22,1,0,3,2,40,0.611111111111111,0,0.025,51,15,66,0.772727272727273,FALSE,FALSE,FALSE,FALSE,0
"66bdd09a9c416f14eb7e27d4",0.733333333333333,132.61,8.84066666666667,15,25,9,2,1,2,2,29,0.36,0.5,0.0689655172413793,32,17,49,0.653061224489796,FALSE,FALSE,FALSE,FALSE,0
