"service_id","total_playtime","avg_daily_playtime","days_active"
"5d4c0d1fe88b9a016f49228f",18.87,9.435,2
"5d4c0d1fe88b9a016f492375",2.55,2.55,1
"5d4c0d1fe88b9a016f4923b4",4.15,1.38333333333333,3
"5d4c0d1fe88b9a016f492410",8.82,4.41,2
"5d4c0d1fe88b9a016f492453",15.9,7.95,2
"5d55fa0ea28df409f1a97a58",3.01,3.01,1
"5d55fa0ea28df409f1a97a5c",43.47,8.694,5
"5d56ea27477f4d0295a3de83",29.92,7.48,4
"5dcaa7719cac4b08193c563e",8.97,8.97,1
"5e736f994b7e1505b51a28cf",24.88,8.29333333333333,3
"5e736f9a4b7e1505b51a2909",45.89,9.178,5
"5e736f9a4b7e1505b51a290e",5.71,5.71,1
"5e73c43c41e4ae057aa7fa31",2.29,2.29,1
"5e7ced16d590eb03461053a8",9.49,9.49,1
"5e7ced16d590eb03461053ac",6.63,6.63,1
"5f2be6d7e4b1e9033697f5b1",5.01,5.01,1
"5f2be6d7e4b1e9033697f65b",1.4,1.4,1
"5f2be6d7e4b1e9033697f66f",24.01,8.00333333333333,3
"5f2be6d7e4b1e9033697f69e",6.63,6.63,1
"5f2be6d8e4b1e9033697f6b8",39.73,9.9325,4
"5f3ab05ec0b8b509bbf6a567",36.45,9.1125,4
"5f3d736794738300247cd7e7",18.3,9.15,2
"5f3d736794738300247cd7ec",3.5,3.5,1
"5f3d736794738300247cd814",21.9,5.475,4
"61f0be54be9a7c1d4e9b7c66",2.83,2.83,1
"62e14e176e5de41b053f3acb",6.96,3.48,2
"632bd5da1a4fa806fd718ece",7.98,2.66,3
"63d1e39521108a040c8a6c37",37.74,7.548,5
"6421bcc00ca53e1c39e823bd",16.62,8.31,2
"65df6c2e874f0c0b69e2ee30",7.37,3.685,2
"66a3b9086adb392850489ccc",2.43,2.43,1
